split_seed,method,tau,delta,scale,validation_log_loss,test_log_loss,test_brier,test_accuracy,test_score_variance,solver_iterations,solver_residual,n_train,n_validation,n_test,candidate_count,selection_grid,model,pair,class_a,class_b,split_index
20270904,SW-tuned,0.001,2.0,1.0,0.17902651054376367,0.20631296600134152,0.06121016154215579,0.925,16.998034210976996,141,2.5365880016425027e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,cat_dog,3,5,3
20270904,ERM-tuned,0.0003,0.0,1.0,0.1914810274325173,0.21050304021824437,0.06166495824333068,0.925,12.217649613054649,241,3.1266381319960823e-10,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,3
20270904,ERM-calibrated,0.001,0.0,1.9025460285169409,0.17913506824945136,0.20908399802467892,0.06141422054161286,0.925,23.37578428331625,141,8.506475629426908e-11,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,3
20270904,Matched,0.025430806348152438,0.0,1.8591409142295228,0.36819610010446696,0.3773528300842743,0.1074690111027359,0.91,1.3009291314379325,41,1.030258557713775e-15,480,120,200,0,analytic,vit_b_16,cat_dog,3,5,3
20270905,SW-tuned,0.0003,2.0,1.0,0.14677293039483663,0.21797094029919792,0.06167210515333669,0.92,28.04617871883972,241,8.481758552406529e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,cat_dog,3,5,4
20270905,ERM-tuned,0.0001,0.0,1.0,0.16044502610860736,0.21604284484881553,0.06340073314628604,0.92,19.428369444337836,401,6.992276143041518e-10,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,4
20270905,ERM-calibrated,0.001,0.0,2.1583107245505295,0.14314462555910148,0.21848275787893934,0.06142017543479621,0.93,28.955253519694942,141,8.741836421331969e-11,480,120,200,11,expanded_tau,vit_b_16,cat_dog,3,5,4
20270905,Matched,0.025430806348152438,0.0,1.8591409142295228,0.36079978537728424,0.37823953628460516,0.10774431401141626,0.925,1.2936675781471223,41,1.1479842630852328e-15,480,120,200,0,analytic,vit_b_16,cat_dog,3,5,4
20270901,SW-tuned,1e-05,2.0,1.0,0.018054338228016394,0.09608644963091927,0.022671687119664483,0.975,132.39509174722085,1701,9.681108404134415e-10,480,120,200,55,expanded_tau_x_delta,vit_b_16,car_truck,1,9,0
20270901,ERM-tuned,1e-05,0.0,1.0,0.022266584464976837,0.0805884489177335,0.021949099542063744,0.975,74.04540047575804,1621,9.99175897010482e-10,480,120,200,11,expanded_tau,vit_b_16,car_truck,1,9,0
