bandwidth,n,tau,delta,probe,population,true_second_moment,centered_true_variance,conditional_mean,nonlinear_bias,design_bias,label_mc,control_variate_covariance,remainder_rms,nonlinear_ci_low,nonlinear_ci_high,design_ci_low,design_ci_high,control_variate_ci_low,control_variate_ci_high,true_second_ci_low,true_second_ci_high
0.7,512,0.08,0.0,1,0.2012576767529909,0.2193871879546566,0.2200620236914923,0.20098991668312358,0.00026564562843756545,-0.000267760069867318,0.018131625643095412,0.20125556231156114,0.00011538156940470213,0.00016287262544384135,0.0003895333877552199,-0.0005357516126113639,7.38781632725905e-06,0.2009386000414494,0.2015665413592565,0.16995835940632845,0.27280376223897884
0.7,512,0.08,0.0,2,0.1846456393653955,0.20116746702741423,0.20201831193041062,0.18413766032350015,0.0002986049266323507,-0.0005079790418953233,0.01673120177728167,0.18443626525013257,0.00011538156940470213,0.00012038894702118065,0.0005522649810908845,-0.0007686803887906273,-0.00025386570661132103,0.18411464690618812,0.184763798576551,0.142398302529416,0.270289813697738
0.7,512,0.08,0.5,0,2.1577271150174275,2.4710578660947187,2.456351620904213,2.1551096779656733,-0.0027487307258112197,-0.0026174370517537595,0.31869691885485635,2.152360947239863,0.00014222500292158097,-0.00375985882321595,-0.001921546684343129,-0.0045810618136298,-0.0008561498870873661,2.1503767007905967,2.1543191999919733,1.8554441239186341,3.211638232676279
0.7,512,0.08,0.5,1,0.3294188997506572,0.358423722115962,0.3594912694937572,0.32903133334861095,-0.00036995536369594726,-0.0003875664020463071,0.029762344131047093,0.32866137798491496,0.00014222500292158097,-0.0005040173406083973,-0.0002553343975620566,-0.0008318367107320111,5.6202173421051514e-05,0.3282117761913597,0.32911253590811756,0.27785230905895414,0.445489068791785
0.7,512,0.08,0.5,2,0.3008033815454169,0.32737385216139026,0.3287307095562481,0.30001802488948637,-0.00035525371762311776,-0.0007853566559305203,0.027711080989526984,0.2996627711718633,0.00014222500292158097,-0.0005597151645023391,-0.000204386462589924,-0.0012382299187556163,-0.00035766481004815783,0.2991769840909537,0.3001262453024515,0.23147074446871435,0.4400559753464994
0.7,512,0.08,1.0,0,3.619367855936947,4.128296234424112,4.103511229009856,3.6143380648598207,-0.024496340530602078,-0.0050297910771261115,0.5384545100948934,3.589841724329219,0.0006864473008055513,-0.03751261800401368,-0.015072269787032508,-0.00725059893680479,-0.0029655909635696166,3.5771782278468325,3.5995567323706896,3.099590800212692,5.367183781170199
0.7,512,0.08,1.0,1,0.5273889537979283,0.5723648708804904,0.5739109014599122,0.5270033329927619,-0.002653785976275174,-0.00038562080516634233,0.04801532386400359,0.5243495470164867,0.0006864473008055513,-0.003697046028004789,-0.0017466287222038439,-0.0012362908541186008,0.00043388242554959536,0.5229836585132271,0.5256122336716061,0.44378225364276686,0.7106705599166322
0.7,512,0.08,1.0,2,0.4748659525788333,0.5169216201841024,0.5189368147384578,0.4738418728105235,-0.002723327093966677,-0.0010240797683097724,0.04580307446754551,0.4711185457165568,0.0006864473008055513,-0.004769787673757978,-0.0013257120942383308,-0.0018670860726399446,-0.00022097941906293133,0.4690128912564183,0.472792321664809,0.365397952662207,0.6963754713139972
0.7,1024,0.02,0.0,0,2.7496256223873634,2.588089081197991,2.578912077533435,2.7498854280656606,0.008768076533182729,0.0002598056782965541,-0.1705644234008509,2.7586535045988434,0.0003738130773748345,0.005871152187809721,0.011951515519662344,-0.0041015807192201536,0.004643303209085664,2.753035146435935,2.764697436593807,1.9078063393197906,3.3838804679166037
0.7,1024,0.02,0.0,1,0.6333714970835536,0.5673107675085928,0.5677888324896054,0.6327687712015675,0.0018849977944986995,-0.0006027258819860559,-0.06734300148747348,0.6346537689960662,0.0003738130773748345,0.0011065184785055155,0.002836498772736821,-0.002226442244060901,0.0008900767239058655,0.6327166441413582,0.6364571759037607,0.40878778159776247,0.7465420282392491
0.7,1024,0.02,0.0,2,0.6226866563504915,0.7450440777354504,0.7522587184941039,0.6231746980861143,0.0019302892030013813,0.00048804173562281395,0.1199390904463345,0.6251049872891157,0.0003738130773748345,0.0013679789362677295,0.0025327891702730688,-0.0007995918700579105,0.0017020827491978118,0.623710390460133,0.6264659361301009,0.5853211547306421,0.9225972222769551
0.7,1024,0.02,0.5,0,4.728393326843619,4.438601204769032,4.4227779752884775,4.7285371297217775,-0.0009061257669971792,0.00014380287815884073,-0.2890297991857484,4.727631003954781,0.00034033029752171686,-0.0018352577823768513,-1.636546102784716e-05,-0.007305143390605034,0.007593338629394186,4.720090377551108,4.73521549082235,3.2717534580074252,5.7998883852650005
0.7,1024,0.02,0.5,1,1.0724410662208406,0.957092487164437,0.9577511950403491,1.0713637240033926,-0.0007900918463972066,-0.001077342217447701,-0.113481144992559,1.0705736321569959,0.00034033029752171686,-0.0013753381333381101,-0.00034777779127133796,-0.003728214516728743,0.0013725423256100765,1.0680043226070912,1.073034493730626,0.6898526918480633,1.2580272064867777
