grid,epsilon,delta,c1,c3,matched_c1,matched_c3,absolute,relative,residual,min_gram_eigenvalue
1024,0.025,0.005,0.04000187004971493,6.140984846331188e-08,0.04000188409554625,6.168263534710519e-08,9.933775478638083e-09,3.5119558135614774e-07,3.102198903177543e-16,9.555698907012195e-09
1024,0.05,0.005,0.08002271988093992,4.91350106949541e-07,0.08002283229342015,4.935327903568196e-07,7.950260944478156e-08,1.4050218323749051e-06,3.102198903177543e-16,9.555698907012195e-09
1024,0.1,0.005,0.16019752192930098,3.933082447199476e-06,0.16019842269826262,3.950556337117828e-06,6.370596750189414e-07,5.623922401114656e-06,3.102198903177543e-16,9.555698907012195e-09
1024,0.2,0.005,0.3216195537128903,3.153758603447604e-05,0.3216268072083923,3.167777410272368e-05,5.129953688666404e-06,2.255724181638159e-05,3.102198903177543e-16,9.555698907012195e-09
1024,0.025,0.02,0.04030409422643451,6.102370739627383e-08,0.04030415175097919,6.214082068920282e-08,4.0683664925268505e-08,1.4275321604065537e-06,3.2537439170674543e-16,9.555698907012195e-09
1024,0.05,0.02,0.08062705019119523,4.882605474255258e-07,0.08062751056689568,4.971987950640883e-07,3.255961285343504e-07,5.7110170808567266e-06,3.2537439170674543e-16,9.555698907012195e-09
1024,0.1,0.02,0.1614052360106994,3.908352183468536e-06,0.16140892476541197,3.979901071867603e-06,2.6088340856603407e-06,2.2858295282290932e-05,3.2537439170674543e-16,9.555698907012195e-09
1024,0.2,0.02,0.32402733875706335,3.1339303329477874e-05,0.3240570340693216,3.1913065580608385e-05,2.1001675805713844e-05,9.166157007620491e-05,3.2537439170674543e-16,9.555698907012195e-09
1024,0.025,0.1,0.04197863993975964,5.818059932655509e-08,0.04197896658947343,6.451252532093527e-08,2.3101961907623784e-07,7.782793319183426e-06,4.0466080588013784e-16,9.555698907012195e-09
1024,0.05,0.1,0.08397529532212235,4.6551985600183643e-07,0.08397790926645858,5.161749046002362e-07,1.8486847928900208e-06,3.1133383890929274e-05,4.0466080588013784e-16,9.555698907012195e-09
1024,0.1,0.1,0.16809494820695964,3.726559904172408e-06,0.1681158837030549,4.131789028419958e-06,1.4806404144832809e-05,0.00012456898776442316,4.0466080588013784e-16,9.555698907012195e-09
1024,0.2,0.1,0.3373522889265257,2.9889192784685742e-05,0.33752054536359105,3.3130694525176224e-05,0.0001189973444034664,0.0004988484240517509,4.0466080588013784e-16,9.555698907012195e-09
1024,0.025,0.25,0.04542329768095042,4.8561130487883436e-08,0.045424340385489925,6.857517924514778e-08,7.374392581266554e-07,2.2959508743590022e-05,5.458059787172877e-16,9.555698907012195e-09
1024,0.05,0.25,0.09086178218396718,3.8862184862514804e-07,0.09087012427338287,5.48679195192664e-07,5.899833649083516e-06,9.18276591285593e-05,5.458059787172877e-16,9.555698907012195e-09
1024,0.1,0.25,0.18184531730074338,3.1132171545936865e-06,0.18191206873607946,4.391921115603353e-06,4.720905211555272e-05,0.00036714545499344454,5.458059787172877e-16,9.555698907012195e-09
1024,0.2,0.25,0.36467294947356976,2.5040555271162862e-05,0.36520746011155086,3.521486246163205e-05,0.00037802456182789304,0.001465991546010091,5.458059787172877e-16,9.555698907012195e-09
1024,0.025,0.5,0.05216862309918783,1.5038787111454344e-08,0.052171798625347904,7.391674198588272e-08,2.245822010633682e-06,6.088088504991577e-05,7.8192091742986e-16,9.555698907012195e-09
1024,0.05,0.5,0.1043421309168982,1.208815173896205e-07,0.10436752341111014,5.914115297211975e-07,1.7958287234538803e-05,0.00024339979585318527,7.8192091742986e-16,9.555698907012195e-09
1024,0.1,0.5,0.20872397934440617,9.852227722574602e-07,0.20892674738905387,4.733774053019418e-06,0.0001434031582076415,0.0009716310117271491,7.8192091742986e-16,9.555698907012195e-09
1024,0.2,0.5,0.417785858326966,8.449756854239654e-06,0.4193964722576973,3.7949453124873356e-05,0.00113906704517744,0.0038557649362846724,7.8192091742986e-16,9.555698907012195e-09
1024,0.025,1,0.07030953827018996,-1.673359353105211e-07,0.07032458191272731,7.741169072168069e-08,1.063886935233537e-05,0.00021399135446640568,1.924210117441282e-15,9.555698907012195e-09
1024,0.05,1,0.14055763005149347,-1.3323949534863044e-06,0.14067771471349316,6.193505305302632e-07,8.492389345189813e-05,0.0008544575050092054,1.924210117441282e-15,9.555698907012195e-09
1024,0.1,1,0.2806317711137112,-1.0461324641393432e-05,0.2815841273495594,4.956626190193852e-06,0.0006735057955241504,0.003394059859741941,1.924210117441282e-15,9.555698907012195e-09
1024,0.2,1,0.5576377422849955,-7.77769825760638e-05,0.5650071827705845,3.9711024454318344e-05,0.005211643528682689,0.013217141398330924,1.924210117441282e-15,9.555698907012195e-09
