a,b,tau,delta,third,baseline_third,third_magnitude_ratio,third_sign_reversal,fundamental_ratio,rkhs_norm_ratio,baseline_linear_third
0.0,0.5,0.02,0.25,1.028599876548228e-05,1.3926052577635864e-05,0.7386155343116237,False,1.13729437347313,1.1351632431048784,5.4643789493269423e-17
0.0,0.5,0.02,0.5,1.8610312638132898e-06,1.3926052577635864e-05,0.13363666792425863,False,1.3041669515406684,1.2948621638400122,5.4643789493269423e-17
0.0,0.5,0.02,1.0,-3.960811519132003e-05,1.3926052577635864e-05,2.8441738942539625,True,1.7474017738944498,1.7040566514439572,5.4643789493269423e-17
0.0,0.5,0.08,0.005,8.317993575050666e-07,8.388766264428443e-07,0.9915633971496046,False,1.0024956884769542,1.0024955246072849,8.456776945386935e-18
0.0,0.5,0.08,0.02,8.097968156649347e-07,8.388766264428443e-07,0.9653348181827176,False,1.0100195392404034,1.0100171622438232,8.456776945386935e-18
0.0,0.5,0.08,0.1,6.720242005109085e-07,8.388766264428443e-07,0.8011001610100241,False,1.0510927443937645,1.0510328697010947,8.456776945386935e-18
0.0,0.5,0.08,0.25,3.111058529113066e-07,8.388766264428443e-07,0.3708600801413595,False,1.1325416178628043,1.1321447153275688,8.456776945386935e-18
0.0,0.5,0.08,0.5,-6.393383582641281e-07,8.388766264428443e-07,0.7621363357984663,True,1.2817493709156724,1.2800229158782768,8.456776945386935e-18
0.0,0.5,0.08,1.0,-4.051968048803152e-06,8.388766264428443e-07,4.830231193810985,True,1.6308404910723173,1.6232289676284541,8.456776945386935e-18
0.3,0.0,0.02,0.005,3.0562803604605206e-07,3.6342475279063473e-07,0.840966482605331,False,1.0024923442643272,1.0024923104110677,-1.2974494272859852e-05
0.3,0.0,0.02,0.02,1.2613802085042342e-07,3.6342475279063473e-07,0.34708153443552103,False,1.0100280078089623,1.0100279991456218,-1.2974494272859852e-05
0.3,0.0,0.02,0.1,-9.97616287840941e-07,3.6342475279063473e-07,2.745042213499578,True,1.0517448263236502,1.051748322029413,-1.2974494272859852e-05
0.3,0.0,0.02,0.25,-4.007307254073195e-06,3.6342475279063473e-07,11.026511604678076,True,1.137360451524903,1.1373878533999155,-1.2974494272859852e-05
0.3,0.0,0.02,0.5,-1.2644914223956978e-05,3.6342475279063473e-07,34.79376164353226,True,1.3041918248099098,1.3043244101854696,-1.2974494272859852e-05
0.3,0.0,0.02,1.0,-5.302258811417781e-05,3.6342475279063473e-07,145.89701914091575,True,1.7467959475011177,1.7475548526429334,-1.2974494272859852e-05
0.3,0.0,0.08,0.005,-1.5517412884479692e-06,-1.5393169609092877e-06,1.0080713250449358,False,1.0024960524235376,1.00249598941266,-2.4061368263468465e-06
0.3,0.0,0.08,0.02,-1.589672854749322e-06,-1.5393169609092877e-06,1.0327131416847954,False,1.0100210534933733,1.0100212296660742,-2.4061368263468465e-06
0.3,0.0,0.08,0.1,-1.8094146679815612e-06,-1.5393169609092877e-06,1.1754659462159922,False,1.0511019287491974,1.0511147721517768,-2.4061368263468465e-06
0.3,0.0,0.08,0.25,-2.309043163300009e-06,-1.5393169609092877e-06,1.5000439947962618,False,1.1325731265491519,1.1326678775595405,-2.4061368263468465e-06
0.3,0.0,0.08,0.5,-3.4415099948550184e-06,-1.5393169609092877e-06,2.235738371142282,False,1.2818516428715283,1.2822927299063835,-2.4061368263468465e-06
0.3,0.0,0.08,1.0,-7.032073437228219e-06,-1.5393169609092877e-06,4.5683076428095175,False,1.631371643790513,1.6336399546589044,-2.4061368263468465e-06
0.3,0.25,0.02,0.005,0.00042535058079925647,0.00042437047910093067,1.0023095425968418,False,1.0024908719593004,1.0024898779194895,0.00040818202920458904
